#lan,distance,concept1,concept2
10,5.473217964172363,envy,doubt
10,5.411696910858154,where,from
10,5.407329082489014,fingernail,nail
10,5.256625175476074,regret,sad
10,5.055907726287842,push,squeeze
10,5.038949012756348,tired,lazy
10,4.961246967315674,short,few
10,4.871748447418213,hold,get
10,4.478161811828613,father,father-in-law
10,4.189873695373535,what,yes
10,4.13479471206665,our,we
10,3.974400758743286,get,see
10,3.921509027481079,father-in-law,mother-in-law
9,6.586389064788818,house,five
9,6.5847883224487305,fire,hell
9,6.582312107086182,straight,stupid
9,6.504852771759033,suck,squeeze
9,6.4834794998168945,new,seven
9,6.40232515335083,weak,sick
9,6.395184516906738,razor,knife
9,6.298283576965332,ground,area
9,6.261340141296387,give,betray
9,6.168220520019531,kick,push
9,6.1266045570373535,front,before
9,6.10631799697876,separate,choose
9,6.091879367828369,wet,cold
9,6.052117347717285,relatives,sister
9,6.030416488647461,old,before
9,6.015680313110352,feel,listen
9,5.916802883148193,judgment,court
9,5.8361945152282715,relatives,cousin
9,5.758005142211914,feel,recognize
9,5.659413814544678,expensive,difficult
9,5.566908359527588,barley,oat
9,5.563999176025391,remain,cease
9,5.550992012023926,pull,tear
9,5.4495768547058105,suspect,think
9,5.230466842651367,more,again
9,5.035886764526367,bury,dig
9,5.033663272857666,dolphin,shark
9,4.723200798034668,hear,see
9,4.6263041496276855,explain,speak
9,4.35393762588501,blue,grey
9,4.238034248352051,thing,some
9,4.214515686035156,father-in-law,uncle
9,3.5680770874023438,grandmother,mother
9,3.151573657989502,grandmother,aunt
8,6.615233898162842,hold,buy
8,6.597998142242432,enter,hear
8,6.578159332275391,twist,fold
8,6.5770955085754395,year,winter
8,6.534250736236572,voice,speech
8,6.521457195281982,expensive,hard
8,6.5208740234375,at,with
8,6.5183424949646,old,former
8,6.515720367431641,citizen,person
8,6.435227394104004,seize,hunt
8,6.3981146812438965,explain,announce
8,6.374886512756348,nostril,nose
8,6.318195819854736,sit,in
8,6.310175895690918,speak,announce
8,6.192929267883301,give,i
8,6.168712139129639,taste,feel
8,6.129975318908691,swear,oath
8,6.072638988494873,big,old
8,6.070272922515869,head,tip
8,6.060394763946533,love,pity
8,6.049439907073975,hunt,catch
8,6.041537284851074,sing,shout
8,6.030416488647461,old,before
8,5.996591567993164,shaman,sorcerer
8,5.963736057281494,season,year
8,5.941581726074219,cry,groan
8,5.903388500213623,hate,refuse
8,5.886549472808838,daughter,boy
8,5.84601354598999,broken,split
8,5.843462944030762,all,until
8,5.772434234619141,enough,crowd
8,5.651814937591553,we,three
8,5.633974075317383,howl,groan
8,5.6236677169799805,tie,wrap
8,5.577211380004883,sit,be
8,5.512917518615723,elbow,wrist
8,5.451469898223877,year,six
8,5.3815531730651855,who,person
8,5.301156520843506,what,their
8,5.146066665649414,bottom,end
8,5.1066575050354,say,promise
8,5.104270935058594,fall,go
8,5.044433116912842,true,yes
8,5.012315273284912,wife,daughter-in-law
8,4.9138922691345215,mother-in-law,son-in-law
8,4.837717533111572,cheek,chin
8,4.7836761474609375,cattle,sheep
8,4.744534015655518,mother,mother-in-law
8,4.716395854949951,regret,pity
8,4.478161811828613,father-in-law,father
8,3.9373815059661865,know,admit
8,3.921509027481079,mother-in-law,father-in-law
7,6.617786407470703,bruise,swelling
7,6.552532196044922,mow,chop
7,6.51615571975708,beat,play
7,6.514935493469238,call,read
7,6.4880452156066895,end,shore
7,6.476312637329102,boast,praise
7,6.468317985534668,what,hundred
7,6.439795970916748,divide,break
7,6.4332594871521,claw,finger
7,6.421943664550781,give,permit
7,6.417295455932617,empty,no
7,6.404762268066406,long,hide
7,6.395184516906738,razor,knife
7,6.371151924133301,jewel,ornament
7,6.339334011077881,teach,preach
7,6.289150238037109,dig,scrape
7,6.2877326011657715,carry,send
7,6.265426158905029,eat,there
7,6.244958400726318,follow,obey
7,6.2187018394470215,defend,forbid
7,6.179765224456787,girl,baby
7,6.149456024169922,conceive,beget
7,6.133496284484863,give,bury
7,6.130876064300537,know,kill
7,6.130792617797852,arrive,enough
7,6.051577091217041,kill,stab
7,5.8833699226379395,take,borrow
7,5.863256931304932,midday,day
7,5.796250820159912,send,order
7,5.764701843261719,finger,arm
7,5.760721206665039,leave,cease
7,5.741525173187256,leg,neck
7,5.696565628051758,new,good
7,5.680778980255127,boat,raft
7,5.662360668182373,count,guess
7,5.645910263061523,pay,wages
7,5.637226581573486,late,night
7,5.597651481628418,have,learn
7,5.513936996459961,break,split
7,5.5031843185424805,put,bury
7,5.4913153648376465,follow,and
7,5.461592197418213,stand,remain
7,5.429234504699707,again,in
7,5.352095603942871,mind,spirit
7,5.348562717437744,look,check
7,5.314740180969238,lick,suck
7,5.301314830780029,go,last
7,5.2912187576293945,inside,bottom
7,5.287836074829102,spear,sword
7,5.283680438995361,edge,end
7,5.256820201873779,husband,son-in-law
