#lan,distance,concept1,concept2
20,7.912253379821777,blunt,blind
20,7.886275291442871,husband,male
20,7.792800426483154,low,shallow
20,7.742846965789795,fur,skin
20,7.643009662628174,voice,throat
20,7.5772294998168945,earth,camp
20,7.338597774505615,pain,disease
20,7.061707973480225,early,fast
20,7.009564399719238,big,tall
20,7.008852958679199,name,eye
20,6.661251544952393,happy,like
20,5.632880210876465,grandson,niece
20,5.415473937988281,fish,meat
19,8.379812240600586,seed,heavy
19,7.868488788604736,edge,mouth
19,7.8215107917785645,float,row
19,7.812847137451172,sink,drowned
19,7.5915446281433105,plain,valley
19,7.538961410522461,fireplace,oven
19,7.484805107116699,we,eat
19,7.2702789306640625,tree,post
19,7.182268142700195,crab,snail
19,7.053328990936279,shelf,board
19,7.010621070861816,fast,hurry
19,6.847601413726807,wife,female
19,6.809411525726318,lead,drive
19,6.537526607513428,wrap,fold
19,6.409226417541504,suck,pull
19,6.381274223327637,teach,read
19,6.176366806030273,emerge,visible
19,6.168379306793213,early,three
19,5.9514851570129395,bake,fry
19,5.832354545593262,only,alone
19,4.4899749755859375,uncle,brother
18,9.869314193725586,dwell,in
18,8.401983261108398,order,govern
18,7.91389799118042,quarrel,battle
18,7.898898601531982,bite,itchy
18,7.760304927825928,crouch,sit
18,7.639032363891602,relatives,clan
18,7.625533103942871,people,citizen
18,7.585288047790527,sausage,intestines
18,7.57169771194458,grind,squeeze
18,7.421689033508301,blood,night
18,7.303899765014648,yam,taro
18,7.257150173187256,more,crowd
18,7.223104953765869,expensive,precious
18,7.091812610626221,seem,visible
18,7.007618427276611,horn,corner
18,6.713415145874023,carry,get
18,6.58367395401001,light,burning
18,6.582635879516602,bury,hide
18,6.560220718383789,inside,at
18,6.389934062957764,behind,afterwards
18,6.365566730499268,late,slow
18,6.0469512939453125,similar,seem
18,5.761940956115723,belt,strap
18,4.89905309677124,give,put
17,8.894787788391113,read,calculate
17,8.553932189941406,bark,scale
17,8.513447761535645,adobe,house
17,8.354222297668457,lazy,sloth
17,8.133106231689453,south,midday
17,8.003326416015625,drip,flow
17,7.972836971282959,fast,sharp
17,7.835546493530273,guard,herd
17,7.705258846282959,armpit,crow
17,7.653429985046387,expensive,holy
17,7.6196160316467285,medicine,tree
17,7.61205530166626,rug,blanket
17,7.518722057342529,seed,eye
17,7.495560169219971,shade,soul
17,7.394186973571777,oar,spade
17,7.384565353393555,penis,egg
17,7.348982810974121,sink,choke
