#languages that colexify these two concepts,concept1,concept2
40,COUNT (QUANTITY),AMOUNT
40,CHOP,FELL (A TREE)
40,BAD,SEVERE
39,TIME,AGE
39,SPLIT,CHOP
39,SPEECH,LANGUAGE
39,SHOUT,SHRIEK
39,PAIR,TWO
39,PADDLE,RUDDER
39,OBEY,LISTEN
39,LOW,SHORT
39,LOVE,LIKE
39,FRUIT,HEART
39,FAULT,BLAME
39,FAECES (EXCREMENT),GUTS
39,COOK (SOMETHING),PREPARE
39,BRIGHT,CLEAR
38,SUN,MOON
38,SHOOT,SHOOT (WITH SLINGSHOT)
38,QUARREL,FIGHT
38,FOLLOW,DISPEL
38,FEW,SOME
38,CUT (WITH AXE),CUT DOWN
38,CUT (WITH AXE),CUT (WITH KNIFE)
38,CARVE,CHOP
38,BOOK,LETTER
37,WANT,LOOK FOR
37,TRUE,CERTAIN
37,THING,ITEM
37,STRIKE (SOMETHING),STRIKE (SOMEONE)
37,SON,DAUGHTER
37,SILENCE,BE SILENT
37,SEED,FRUIT
37,NARROW,THIN (OF SHAPE OF OBJECT)
37,LINE,STROKE (OF PEN)
37,LATE,AFTERNOON
37,HEAD,TOP
37,GRIND,PRESS
37,GIVE,DONATE
37,DECEIVE,SWINDLE
37,CULTIVATE,PLOUGH
37,BACKWARD,BACK (DIRECTION)
37,ARROW,BOW
36,WANT,INTENTION
36,SPEAR,FISHING SPEAR
36,SNOW,ICE
36,SAY,CALL BY NAME
36,LONG,FOR A LONG TIME
36,GROW,BIG
36,FLOW,STREAM (FLOW CONTINUOUSLY)
36,FACE,EYE
36,EGG,TESTICLES
36,DARE,BRAVE
36,CUT,CUT DOWN
36,BEAD,NECKLACE
35,WORD,AFFAIR
35,TURN (SOMETHING),TURN AROUND
35,TREE,TREE TRUNK
35,THEY,YOU
35,SUCK,DRINK
35,STRONG,POWERFUL
35,SHIRT,DRESS
35,RAIN (PRECIPITATION),WATER
35,INSECT,WORM
35,HOUSE,MEN'S HOUSE
35,HEAR,KNOW (SOMETHING)
35,FINGERNAIL OR TOENAIL,PAW
35,FINGERNAIL,CLAW OR NAIL
35,EDGE,FRINGE
35,CONDEMN,CONVICT
35,CLUB,WALKING STICK
34,YOUNGER BROTHER,BROTHER
34,THING,AFFAIR
34,STAND,WAKE UP
34,SPIRIT,DEMON
34,SEE,KNOW (SOMETHING)
34,PLACE (POSITION),SPACE (AVAILABLE)
34,ONE TIME,ONCE (IN THE PAST)
34,OLD,OLD (AGED)
34,MOW,CUT
34,MEAL,EAT
34,LIVESTOCK,ANIMAL
34,KILL,STRIKE
34,HONEY,MEAD
34,HE OR SHE OR IT,HIS OR HER
34,HE OR SHE,HIS (GENITIVE OF HE)
34,GET,FIND
34,FLOW,RUN
34,FLEE,RETREAT
34,FIVE,ARM
34,FEEL,KNOW (SOMETHING)
34,FEATHER,HAIR (HEAD)
34,CHOP,CUT DOWN
34,CARRY,LEAD (GUIDE)
34,CARRY,CARRY ON HEAD
34,CALL,INVITE
33,WRONG,MISTAKE
33,WRONG,GUILTY
33,TOOTH,MOLAR TOOTH
33,TIME,SEASON
33,TIME,HOUR
33,THOU,YOUR (SINGULAR)
33,THOU,YOU (FORMAL ADDRESS)
33,TAKE,PICK UP
33,SWAMP,MOORLAND
33,SOUND OR NOISE,TONE (MUSIC)
33,RELATIVES,FAMILY
33,PINE,FIR
33,NEEDLE (FOR SEWING),PIN
33,MALE (OF PERSON),HUSBAND
33,MAKE,PRODUCE
33,LEG,SHIN
33,LEAF,HAIR
33,EYE,DIE
33,EXTINGUISH,KILL
33,DRY,THIRSTY
33,DEFEND,PRESERVE
33,CLOTHES,SHIRT
33,BIG,THICK
33,BAKE,COOK (SOMETHING)
33,BAD,ROTTEN
32,WE,US (OBLIQUE CASE OF WE)
32,TIN OR TINPLATE,IRON
32,TIE,CONNECT
32,THUNDER,LIGHTNING
32,STAB,PIERCE
32,SEND,LET GO OR SET FREE
32,RIVER,STREAM
32,PERSON,MALE PERSON
32,OLDER BROTHER,OLDER SIBLING
32,NOW,IMMEDIATELY
32,MASTER,CHIEFTAIN
32,MANY,MORE
32,HIGH,UP
32,HEAR,OBEY
32,HE,IT
32,GARDEN-HOUSE,ROOM
32,FEMALE (OF PERSON),WIFE
32,EYELID,EYELASH
32,EAGLE,HAWK
32,DRIP (EMIT LIQUID),DRIBBLE
32,CHILI PEPPER,PEPPER
32,BUILD,MAKE
31,WET,RAW
31,THAT,HE
31,SWIM,ROW
31,SON,CHILD (DESCENDANT)
31,SICK,PAINFUL
31,SEED,BONE
31,PISS,SHIT (DEFECATE)
31,MOUSE,RAT
31,MIND,IDEA
31,IMMEDIATELY,SOON
31,I,WE
31,HOLD,CARRY IN HAND
31,GUESS,THINK (BELIEVE)
31,FOOD,EAT
31,FISH TRAP,TRAP (PITFALL)
31,FIND,SEE
31,FAT (ORGANIC SUBSTANCE),FAT (OBESE)
31,DARKNESS,NIGHT
31,CUT,KILL
31,CHILD (DESCENDANT),CHILD
31,CAST,MOLD
31,BLOW (OF WIND),WIND
31,BEE,HONEY
30,YELLOW,GREEN
30,WALK,LEAVE
30,TOBACCO,SMOKE (EXHAUST)
30,SWIM,BATHE
30,STOMACH,WOMB
30,SPLIT,TEAR (OF EYE)
30,SPEAK,LANGUAGE
30,SMOKE (EXHAUST),SMOKE (INHALE)
30,SHE,IT
30,PRICE,EXPENSIVE
30,LIGHT (RADIATION),LIGHT (COLOR)
30,JAW,CHEEK
30,HUT,GARDEN-HOUSE
30,HOLE,NEST
30,HIP,BUTTOCKS
30,GRANDMOTHER,OLD WOMAN
30,FINGERNAIL,PAW
30,FIELD,CORN FIELD
30,FEATHER,FUR
30,FAT (ORGANIC SUBSTANCE),BUTTER
30,COCONUT,WATER
30,BEAK,NOSE
29,WATER,BEVERAGE
29,TREE,FIREWOOD
29,SKY,ABOVE
29,SEE,WATCH
29,SAUCER,DISH
29,PIG,WILD BOAR
29,LOW,DOWN OR BELOW
29,LOCK,KEY
29,HOWL,SHRIEK
29,HORN (ANATOMY),BRASS INSTRUMENT (HORN OR TRUMPET)
29,GRANDFATHER,GRANDCHILD
29,FIRST,BEFORE
29,FAST,SOON
