distance,concept1,concept2,#lan,relation
7.040346622467041,small,boy,2,RelatedTo
7.044106483459473,time,weather,51,RelatedTo
7.045707702636719,father,god,2,RelatedTo
7.04728364944458,chest,heart,10,AtLocation,RelatedTo
7.04728364944458,chest,heart,10,AtLocation,RelatedTo
7.0534539222717285,circle,ball,17,RelatedTo
7.053462505340576,master,king,16,RelatedTo
7.053950786590576,laugh,play,2,HasSubevent
7.0543694496154785,low,deep,5,RelatedTo
7.054942607879639,study,think,4,HasPrerequisite
7.059375286102295,evil,sin,2,RelatedTo
7.0606913566589355,insect,snake,2,NotHasProperty
7.062987804412842,skull,brain,2,AtLocation
7.064194202423096,weigh,heavy,5,RelatedTo
7.066225528717041,chimney,smoke,3,RelatedTo
7.068779468536377,bark,barking,2,DerivedFrom
7.069956302642822,earn,work,2,RelatedTo
7.070051670074463,money,coin,49,Antonym,RelatedTo
7.070051670074463,money,coin,49,Antonym,RelatedTo
7.073601722717285,throw,eat,3,Antonym
7.073868274688721,ghost,god,2,RelatedTo
7.0759148597717285,ice,freeze,4,RelatedTo
7.0794596672058105,corpse,body,27,RelatedTo
7.080216884613037,fire,four,3,EtymologicallyRelatedTo,Synonym,Synonym
7.080216884613037,fire,four,3,EtymologicallyRelatedTo,Synonym,Synonym
7.080216884613037,fire,four,3,EtymologicallyRelatedTo,Synonym,Synonym
7.082777976989746,leather,belt,3,RelatedTo
7.083198547363281,sweep,broom,9,RelatedTo,UsedFor
7.083198547363281,sweep,broom,9,RelatedTo,UsedFor
7.084723949432373,field,land,7,RelatedTo
7.085360050201416,sky,air,11,AtLocation,RelatedTo
7.085360050201416,sky,air,11,AtLocation,RelatedTo
7.089714050292969,insect,worm,35,RelatedTo
7.097175598144531,tree,oak,2,IsA,RelatedTo
7.097175598144531,tree,oak,2,IsA,RelatedTo
7.099878311157227,brain,head,6,HasA,RelatedTo
7.099878311157227,brain,head,6,HasA,RelatedTo
7.101351737976074,leg,shin,33,PartOf
7.102580547332764,dark,evening,2,RelatedTo
7.103602409362793,dye,paint,4,RelatedTo
7.103602409362793,dye,paint,77,RelatedTo
7.107714653015137,man,male,44,RelatedTo
7.107714653015137,man,male,47,RelatedTo
7.112921237945557,poor,beggar,14,RelatedTo
7.113961219787598,wind,air,53,RelatedTo
7.115057468414307,darkness,shade,2,RelatedTo
7.115160942077637,circle,wheel,28,RelatedTo
7.116123199462891,have,drink,2,RelatedTo
7.120609283447266,market,store,8,RelatedTo
7.122340679168701,nail,peg,6,RelatedTo
7.128103256225586,nest,beehive,3,RelatedTo
7.1298909187316895,ear,earlobe,19,PartOf
