concept 1,concept 2,language weight,similarity
leather,skin,40,0.25368054330936324
bad,severe,40,0.18849761861225392
mouth,tooth,40,0.17019356927997434
chop,fell,40,0.12022576414629228
soldier,army,40,0.2565296842696444
shake,jog,40,0.14080518034003908
darkness,dark,40,0.40920108012896833
go,drive,40,0.34215216957442984
roof,thatch,40,0.4141948205216069
fault,blame,39,0.4453331801898714
paddle,rudder,39,0.3186436740525955
shout,shriek,39,0.41687085146053987
low,short,39,0.19972023361671246
speech,language,39,0.32814679437507793
pair,two,39,0.28321545313294744
time,age,39,0.22267965823937677
obey,listen,39,0.288611706609404
split,chop,39,0.18328532124691682
love,like,39,0.14786071739769827
bright,clear,39,0.3537621528373835
cook,prepare,39,0.2091891736047945
faeces,guts,39,0.0932956692117281
fruit,heart,39,0.0690270688298046
quarrel,fight,38,0.42414156220494464
book,letter,38,0.25981428252129357
follow,dispel,38,0.02932328055948998
sun,moon,38,0.6294304676749767
few,some,38,0.31916170361852636
carve,chop,38,0.14555498762063548
thing,item,37,0.1401806504526086
true,certain,37,0.24321296247514373
backward,back,37,0.2952314984005008
arrow,bow,37,0.42694412056575304
cultivate,plough,37,0.14290284206462087
head,top,37,0.24648526771628845
line,stroke,37,0.08507983422985387
late,afternoon,37,0.3015210703936437
seed,fruit,37,0.4179007452065702
son,daughter,37,0.6600231117034111
flow,stream,36,0.4283525146476249
face,eye,36,0.2877126895088855
snow,ice,36,0.5513626985162866
grow,big,36,0.12873040337460484
egg,testicles,36,0.16849081611998185
want,intention,36,0.09678313580238099
dare,brave,36,0.33908010852016546
bead,necklace,36,0.29476765708889524
condemn,convict,35,0.28069689328258196
strong,powerful,35,0.4695250058055534
rain,water,35,0.3530109434469737
insect,worm,35,0.4068703166604168
word,affair,35,0.044357594291304536
they,you,35,0.2340006895655374
hear,know,35,0.3704896943794382
shirt,dress,35,0.3827098253860194
suck,drink,35,0.3334006445265223
edge,fringe,35,0.32587028246494143
kill,strike,34,0.210101259661921
flow,run,34,0.26844412758539254
flee,retreat,34,0.24092355421711958
mow,cut,34,0.12238038346359416
meal,eat,34,0.3919530445579212
get,find,34,0.32695519460982525
see,know,34,0.4337874901608817
carry,lead,34,0.1434063825955653
honey,mead,34,0.21523925341916225
five,arm,34,0.00895326905315582
call,invite,34,0.20973820130426807
place,space,34,0.17842783847407645
feel,know,34,0.4343194774864311
spirit,demon,34,0.282027831461673
feather,hair,34,0.3281258581662983
thing,affair,34,0.2563805985732291
male,husband,33,0.11393367652140815
needle,pin,33,0.34574694751361645
bake,cook,33,0.34214798094255366
wrong,mistake,33,0.37867865818399726
wrong,guilty,33,0.25976762559511163
defend,preserve,33,0.34394510157876246
clothes,shirt,33,0.4229498208657099
leg,shin,33,0.3433721344311428
dry,thirsty,33,0.2835140818978054
swamp,moorland,33,0.20318993211156516
make,produce,33,0.21282449282424512
thou,your,33,0.15220847230638873
