concept 1,concept 2,language weight,similarity
embers,fire,6,0.4843343509308906
pot,jug,15,0.4842329162006837
edge,border,4,0.48410049453018533
spin,weave,20,0.4837198895239765
aunt,mother,13,0.48311705026014357
thick,dense,9,0.4828953546537214
forgive,forget,4,0.4822310501906581
penis,testicles,6,0.48214487521196037
penis,vulva,4,0.4821252156724955
say,tell,52,0.48199629159341106
ash,lime,2,0.48157819023349235
ash,lime,2,0.48157819023349235
widower,widow,53,0.48105255687569237
grief,anxiety,16,0.48072397741528367
goat,deer,3,0.48026716037985173
ground,floor,12,0.4801276061172316
collar,neck,49,0.47926868210225493
axe,hammer,3,0.4791634080382784
flock,herd,2,0.47900087969539534
season,year,8,0.47881530378473663
knife,axe,6,0.47873256972533074
destroy,injure,3,0.47789633463724157
money,pay,2,0.47782036449956505
wife,grandmother,2,0.4770393166926535
beech,tree,2,0.47688349918346723
flash,lightning,4,0.4765682759810983
remember,think,6,0.4760293061947596
remember,think,20,0.4760293061947596
remember,think,9,0.4760293061947596
sheep,goat,22,0.4759824338986481
day,afternoon,9,0.47585664887460666
vegetables,fruit,55,0.47570603417972274
bowl,saucer,11,0.4752828942763186
tree,fruit,3,0.4749641623769667
loud,howl,2,0.47484267079548326
wet,damp,16,0.4743593414292506
leg,hip,5,0.4742313577634358
soul,heart,24,0.47417048486240126
paddle,oar,151,0.474143567228129
sheep,deer,4,0.4738117525046515
lake,pond,6,0.4737815121974096
envy,hate,4,0.4736931136520646
razor,knife,9,0.4731744639160136
razor,knife,7,0.4731744639160136
wet,cold,9,0.4727342929545873
nose,forehead,2,0.47263266281809735
cloud,smoke,29,0.472168541079641
say,i,6,0.472157792571347
lung,liver,6,0.47204771662869244
day,night,3,0.4712449336864202
bowl,jug,4,0.4711311538632934
grain,oat,8,0.47108647826575134
copper,wire,7,0.4709739242196512
louse,flea,28,0.47084847461257295
thigh,bone,4,0.4704423942932749
hand,arm,294,0.4700164634596207
strong,powerful,35,0.4695250058055534
hand,thumb,5,0.46818827416659536
god,heaven,3,0.4678742756291368
i,we,31,0.46779770223348577
i,we,10,0.46779770223348577
i,we,4,0.46779770223348577
i,me,18,0.46742040038281285
defeat,victory,9,0.4664727668108998
ride,drive,16,0.4663609553636331
butterfly,moth,9,0.46629259962396696
sing,dance,12,0.4662352170063659
throat,neck,96,0.46600480039520864
chimney,fireplace,14,0.4658401624106486
granddaughter,grandfather,4,0.4657664829438114
lock,padlock,15,0.46568206787915745
beech,birch,2,0.46556488579804367
cold,damp,2,0.46549372504919695
stove,oven,120,0.46531430077407115
bowl,spoon,2,0.46509311972242473
sweet,fragrant,11,0.46459361967471496
understand,learn,6,0.46458081118589667
week,saturday,7,0.46440945507693915
calm,quiet,12,0.46408533374317223
sky,sun,16,0.46387939781585197
top,roof,5,0.46339384008552786
go,come,25,0.463219749996545
wife,aunt,2,0.4631848410361475
bay,cape,3,0.4631372390192728
bottle,glass,6,0.46213004204220315
forest,bush,26,0.46208063162861
dawn,morning,26,0.4620646363891556
fall,fell,2,0.46198200991864086
penis,vagina,3,0.46151264157333033
two,twenty,2,0.46133979191865504
leg,neck,7,0.4599580117752112
granddaughter,niece,52,0.4598519388358011
year,day,3,0.45954413443931524
chisel,knife,5,0.4593401775069132
chisel,knife,5,0.4593401775069132
beard,moustache,12,0.4590372539830065
breakfast,morning,4,0.458946569098178
lake,sea,41,0.45884030050979197
chin,lip,4,0.45871251101559846
nose,tip,3,0.4580276014699868
wine,liquor,2,0.45799422874225937
insect,larva,4,0.45788608119350976
rib,bone,5,0.4577536962622768
sky,cloud,102,0.45758533511115207
know,learn,57,0.45682491275594056
hand,finger,20,0.45677527651194433
get,try,2,0.4567372210443099
face,forehead,20,0.4562242195572127
wife,marry,3,0.4560141751312568
face,cheek,18,0.4558995727785118
river,sea,12,0.45582034004934396
remember,yes,2,0.45541434368160255
latch,padlock,4,0.4551772724869662
aunt,cousin,6,0.4549678398747091
leaf,flower,2,0.4544326244689701
elk,reindeer,2,0.4542643746934622
preserve,protect,16,0.45420072923152427
edge,top,14,0.453493828618257
bed,sleep,2,0.45325939077359784
speak,say,196,0.4531915739543517
tree,twig,2,0.4530642440990552
mare,horse,17,0.4526583715176617
week,sunday,14,0.4526392156252597
uncle,sister,2,0.45219463156989737
charcoal,soot,5,0.45199616475271687
sickle,scythe,11,0.4519831078115928
fowl,bird,58,0.4519717746999
meal,lunch,10,0.45181684593324467
dirty,ugly,14,0.4517847362231168
grief,regret,15,0.45173682291900435
bird,eagle,4,0.4515710485531452
cousin,friend,3,0.45143697366171587
bone,spine,5,0.4512909786277965
vegetables,cabbage,5,0.45086510001732305
toe,thumb,3,0.4507395508316587
cheek,chin,8,0.45061796710826557
elbow,chin,3,0.44942359011583327
sell,price,2,0.44930743228946585
hear,see,9,0.4489461833619234
bag,pouch,18,0.44876561729183184
follow,pursue,49,0.44862175393967585
paper,newspaper,2,0.4484595688980377
brave,soldier,3,0.44813255295127785
true,truth,9,0.44804033521094516
bird,sparrow,8,0.44790390658208085
midday,afternoon,7,0.4474481761636402
car,cart,5,0.44730410135277515
wine,beverage,5,0.4471416854959921
rug,blanket,17,0.44713846530603535
love,pity,8,0.44708001953814314
taste,smell,5,0.44557250291425843
smell,taste,3,0.44557250291425843
fault,blame,39,0.4453331801898714
white,green,2,0.4450033232583782
mat,rug,18,0.44496660336912947
food,eat,31,0.44490016872738347
bean,pea,6,0.4447242373806149
mule,donkey,11,0.4446164023760378
say,ask,2,0.4445209738211479
say,ask,3,0.4445209738211479
proud,boast,15,0.44419309672855584
husband,marry,5,0.4441697755862068
thing,what,12,0.4439318059804338
hoe,spade,10,0.4438234853175387
soul,mind,19,0.4437042826995237
destroy,kill,7,0.44365785132514507
tree,fir,2,0.44312169464322365
meat,flesh,252,0.4428952255113415
cloak,shirt,3,0.44288207840851657
sun,star,3,0.442795324506028
road,street,18,0.44277189030292097
tomorrow,morning,42,0.4422505552657119
stone,rock,27,0.44216203502557483
dew,rain,2,0.44195090007634485
wolf,lion,2,0.44174080123629456
name,surname,8,0.44132885072323275
cry,groan,8,0.44126109498499205
believe,suspect,2,0.44097237749825624
bark,tree,3,0.440868548832951
fowl,chicken,28,0.44085462086537197
grief,shame,3,0.4405253057323582
red,color,2,0.4404382040155774
yesterday,afternoon,2,0.44040561495269537
pot,dish,10,0.4401911520981827
window,glass,9,0.4400314513832059
food,vegetables,2,0.43947019160103257
bake,boil,18,0.4394506476882248
bake,boil,6,0.4394506476882248
grain,flour,3,0.4394355847740543
pain,grief,25,0.4392117801882788
money,coin,49,0.4388670302422514
bay,island,2,0.4387251474446866
toe,finger,133,0.4387185588264887
jug,cup,8,0.4386659514446424
exchange,barter,4,0.4385336900278592
deer,reindeer,2,0.43848245173235467
island,cape,2,0.4384802385060992
leg,toe,4,0.4381259717078104
bite,sting,7,0.4378326865163425
have,i,5,0.43763555304865065
begin,beginning,3,0.4374355378826625
horse,donkey,11,0.43722695944943657
begin,start,4,0.4370395182276121
wind,storm,28,0.436814816586944
intestines,faeces,8,0.43660058327911877
spin,sew,2,0.4363498192415605
spoon,dish,3,0.4362583772159891
river,ocean,2,0.4359621170192749
open,door,2,0.4358771893781771
insect,animal,7,0.4356883238374808
shut,door,3,0.43560605527786334
teach,preach,7,0.435527357749104
understand,recognize,2,0.43523799076446834
knee,chin,2,0.4345114529953287
grief,pity,6,0.43441284994397517
feel,know,34,0.4343194774864311
know,feel,3,0.4343194774864311
you,we,2,0.43386049673102295
we,you,7,0.43386049673102295
we,you,11,0.43386049673102295
we,you,10,0.43386049673102295
believe,know,6,0.4338556820367749
see,know,34,0.4337874901608817
sky,fog,7,0.4337560974263689
leg,bone,28,0.433567049577164
bury,dig,9,0.4334018626281726
granddaughter,nephew,23,0.4332489141077338
speak,word,20,0.43315446092760623
kid,goat,6,0.43275039712876695
market,price,2,0.4326541443319104
flower,bud,2,0.43256782565942603
comb,brush,83,0.4324411836356445
push,pull,7,0.43233054327508175
dog,goat,3,0.4322349381153955
bracelet,necklace,2,0.4317871601655471
fault,mistake,61,0.43155862329932265
wife,woman,289,0.43146689996257453
bay,lake,2,0.43129954510274116
what,say,3,0.4312892983576353
speak,tell,48,0.4309346684028344
cupboard,box,2,0.4302616853984941
vulture,eagle,61,0.4302491971527684
shout,howl,24,0.43005747188371785
precipice,edge,5,0.4300127149433915
religion,worship,4,0.42973853797651124
shame,fear,3,0.42970103144080923
fog,smoke,26,0.4295638378961399
eye,ear,3,0.42945072281293206
plant,tree,21,0.42910090515903476
float,swim,86,0.4287499165980459
talk,chat,23,0.4283868744804432
flow,stream,36,0.4283525146476249
similar,same,6,0.42784082851270855
doubt,think,2,0.42737475184747875
know,guess,5,0.42733979446142895
butterfly,spider,2,0.42729170423417384
week,friday,15,0.4271700388268466
wet,dirty,4,0.4271461050975573
parents,relatives,6,0.427100006131815
arrow,bow,37,0.42694412056575304
shoot,kill,57,0.42690896601040634
chest,lung,5,0.42690749150606155
forgive,bless,2,0.4267378690377025
that,it,14,0.4266052243697697
try,do,2,0.4262583375424431
food,bread,7,0.42625589535764813
cup,dish,16,0.42589906185655274
lunch,afternoon,2,0.42566572003268416
snow,winter,5,0.4256097692213674
price,wages,12,0.42552526186126793
sand,pebbles,2,0.4253786370451209
ox,cow,17,0.4252787926168086
season,month,3,0.42501909564998835
knife,sword,7,0.4245868938253136
knife,sword,27,0.4245868938253136
copper,steel,10,0.42447679301991403
waist,belt,6,0.42431436069944767
famine,hunger,84,0.42416812016797856
plant,flower,4,0.4241525333102166
quarrel,fight,38,0.42414156220494464
oil,petroleum,7,0.423982729209554
drink,beverage,11,0.4239163604385055
cabbage,mango,5,0.42350598645587695
grandmother,grandchild,41,0.42307457601456305
relatives,family,33,0.42297546329336394
clothes,shirt,33,0.4229498208657099
court,judge,2,0.4227469971872348
mouth,nose,2,0.42249219077047706
snow,fog,4,0.4224140393600665
elevation,height,9,0.4220186927519606
heel,foot,14,0.4219076911383689
howl,shriek,29,0.42167040555988783
flour,bread,6,0.42153377432089817
toe,foot,5,0.42141890004798754
