euclidean distance,concept1,concept2
4.17975378036499,father-in-law,daughter-in-law
4.17975378036499,father-in-law,daughter-in-law
4.17975378036499,father-in-law,daughter-in-law
4.181710720062256,good,what
4.182238578796387,get,keep
4.18280029296875,come,happen
4.184540748596191,give,me
4.184685707092285,one,alone
4.185251235961914,remain,be
4.186211109161377,first,before
4.18794584274292,now,that
4.188781261444092,go,they
4.189873695373535,what,yes
4.191181659698486,aunt,cousin
4.192825794219971,remember,doubt
4.194493293762207,come,get
4.196364879608154,night,afternoon
4.197332859039307,come,give
4.206258296966553,put,see
4.206500053405762,go,if
4.206851959228516,and,other
4.20791482925415,that,he
4.208232402801514,bring,get
4.2085041999816895,say,ask
4.2085041999816895,say,ask
4.209619998931885,stepmother,stepdaughter
4.211028575897217,remember,yes
4.211400032043457,give,say
4.214385032653809,without,nothing
4.214515686035156,father-in-law,uncle
4.214515686035156,uncle,father-in-law
4.216137409210205,aunt,uncle
4.220887660980225,grandmother,granddaughter
4.227019309997559,place,put
4.227095603942871,go,bring
4.232027053833008,yesterday,morning
4.232687950134277,go,say
4.237244606018066,sea,ocean
4.238034248352051,thing,some
4.238080978393555,many,often
4.238165378570557,daughter-in-law,stepdaughter
4.238165378570557,stepdaughter,daughter-in-law
4.244473457336426,give,good
4.244969367980957,dumb,fool
4.2450385093688965,up,before
4.254710674285889,mind,think
4.254710674285889,mind,think
4.2572550773620605,they,far
4.257539749145508,mind,remember
4.2585296630859375,more,other
4.259066104888916,want,hope
4.259066104888916,want,hope
4.259233474731445,they,one
4.268530368804932,if,yes
4.268623352050781,speak,talk
4.270798683166504,son,daughter
4.272057056427002,tell,talk
4.273956775665283,crab,lobster
4.27423620223999,admit,yes
4.280773162841797,this,here
4.2819695472717285,mind,idea
4.284293174743652,mistake,blame
4.2918243408203125,brother-in-law,brother
4.296963691711426,now,if
4.297876358032227,give,see
4.301663875579834,feel,think
4.301663875579834,feel,think
4.301756381988525,leave,want
4.302669525146484,move,turn
4.3029327392578125,place,time
4.304769992828369,take,there
4.3057756423950195,our,your
4.3057756423950195,your,our
4.306197166442871,end,before
4.306459426879883,where,far
4.3069939613342285,already,before
4.307027339935303,go,do
4.3083367347717285,fear,danger
4.308427333831787,look,know
4.308567047119141,go,turn
4.310963153839111,leave,get
4.314104080200195,some,two
4.320588111877441,part,end
4.320645809173584,nephew,son-in-law
4.320645809173584,nephew,son-in-law
4.321749687194824,first,end
4.326878070831299,first,beginning
4.329943656921387,guess,seem
4.3315558433532715,dog,cat
4.333099842071533,come,say
4.336757659912109,see,believe
4.339566230773926,take,that
4.3396501541137695,time,if
4.3401384353637695,give,do
4.341602325439453,immediately,instantly
4.344995021820068,house,home
4.3512749671936035,sit,stand
4.353190898895264,give,we
4.35393762588501,blue,grey
4.3572306632995605,know,right
4.360135078430176,get,few
4.360812187194824,get,do
4.363061904907227,wheat,barley
4.363154888153076,leave,put
4.365944862365723,come,not
4.36649751663208,understand,guess
4.367952346801758,tomorrow,yesterday
4.36964750289917,look,think
4.371445655822754,cousin,friend
4.371798515319824,tell,answer
4.373835563659668,all,always
4.378269672393799,half,up
4.3799238204956055,joy,happiness
4.38063383102417,must,necessary
4.381570816040039,meal,dinner
4.381870746612549,come,leave
4.3858842849731445,all,few
4.387596130371094,grandmother,grandparents
4.390547275543213,take,keep
4.392119407653809,tell,admit
4.394269943237305,see,say
4.395069599151611,understand,remember
4.395319938659668,speak,tell
4.3979291915893555,morning,day
4.401115417480469,come,see
