full,fill,EtymologicallyRelatedTo
good,god,EtymologicallyRelatedTo
good,god,EtymologicallyRelatedTo
how,who,EtymologicallyRelatedTo
how,why,EtymologicallyRelatedTo
i,in,EtymologicallyRelatedTo
kid,child,EtymologicallyRelatedTo
land,land,EtymologicallyRelatedTo
land,land,EtymologicallyRelatedTo
land,land,EtymologicallyRelatedTo
land,land,EtymologicallyRelatedTo
last,last,EtymologicallyRelatedTo
last,last,EtymologicallyRelatedTo
last,last,EtymologicallyRelatedTo
lead,lead,EtymologicallyRelatedTo
leaf,leaf,EtymologicallyRelatedTo
lung,light,EtymologicallyRelatedTo
moon,month,EtymologicallyRelatedTo
my,me,EtymologicallyRelatedTo
new,now,EtymologicallyRelatedTo
now,no,EtymologicallyRelatedTo
now,no,EtymologicallyRelatedTo
open,open,EtymologicallyRelatedTo
open,open,EtymologicallyRelatedTo
paddle,spade,EtymologicallyRelatedTo
ring,ring,EtymologicallyRelatedTo
ring,ring,EtymologicallyRelatedTo
ring,ring,EtymologicallyRelatedTo
ring,ring,EtymologicallyRelatedTo
shirt,skirt,EtymologicallyRelatedTo
skin,hide,EtymologicallyRelatedTo
smoke,smoke,EtymologicallyRelatedTo
spear,spear,EtymologicallyRelatedTo
they,that,EtymologicallyRelatedTo
they,this,EtymologicallyRelatedTo
tide,time,EtymologicallyRelatedTo
today,day,EtymologicallyRelatedTo
trap,trap,EtymologicallyRelatedTo
we,we,EtymologicallyRelatedTo
week,weak,EtymologicallyRelatedTo
wet,water,EtymologicallyRelatedTo
wheat,white,EtymologicallyRelatedTo
where,who,EtymologicallyRelatedTo
you,your,EtymologicallyRelatedTo
burning,burn,FormOf
burning,burn,FormOf
cause,because,FormOf
cooked,cook,FormOf
cooked,cook,FormOf
father,mother,FormOf
people,person,FormOf
temples,temple,FormOf
temples,temple,FormOf
blood,water,HasA
face,nose,HasA
family,descendants,HasA
fruit,sugar,HasA
grass,cut,HasA
house,roof,HasA
leg,foot,HasA
people,parents,HasA
people,person,HasA
wine,alcohol,HasA
believe,religion,HasContext
hook,bridge,HasContext
hook,bridge,HasContext
sing,music,HasContext
speech,language,HasContext
throw,bridge,HasContext
dream,sleep,HasFirstSubevent
study,read,HasFirstSubevent
cook,stir,HasLastSubevent
die,die,HasLastSubevent
eat,chew,HasLastSubevent
fall,land,HasLastSubevent
itch,scratch,HasLastSubevent
dream,sleep,HasPrerequisite
fall,slip,HasPrerequisite
fire,heat,HasPrerequisite
get,buy,HasPrerequisite
get,give,HasPrerequisite
get,steal,HasPrerequisite
hear,listen,HasPrerequisite
kiss,embrace,HasPrerequisite
learn,read,HasPrerequisite
learn,study,HasPrerequisite
remember,awake,HasPrerequisite
see,look,HasPrerequisite
think,think,HasPrerequisite
understand,think,HasPrerequisite
wind,air,HasPrerequisite
day,light,HasProperty
egg,white,HasProperty
ice,cold,HasProperty
pain,painful,HasProperty
rain,water,HasProperty
sky,blue,HasProperty
sky,up,HasProperty
small,narrow,HasProperty
yolk,yellow,HasProperty
dream,sleep,HasSubevent
eat,chew,HasSubevent
fall,land,HasSubevent
kiss,embrace,HasSubevent
laugh,smile,HasSubevent
learn,study,HasSubevent
love,kiss,HasSubevent
sleep,dream,HasSubevent
speak,talk,HasSubevent
study,read,HasSubevent
walk,move,HasSubevent
adobe,brick,IsA
adobe,clay,IsA
alcohol,beverage,IsA
arson,burning,IsA
baby,child,IsA
bake,cook,IsA
beak,nose,IsA
beard,hair,IsA
beard,hair,IsA
beech,tree,IsA
beech,tree,IsA
beer,beverage,IsA
beer,beverage,IsA
bird,animal,IsA
bird,eagle,IsA
bird,animal,IsA
blood,red,IsA
